--Header-Start--

SerialNumber	6194314361
PartNumber	1891115 HY1 CAM 17700x
BatchSerialNumber	3055645
Revision	1891115
OperationTypeName	SW Debug
UUTStatus	Passed
ErrorCode	
ErrorMessage	
StartDateTime	2019-11-11T14:03:50
ExecutionTime	174
TestSocketIndex	02
StationName	FLYING-PROBE4
OperatorName	Operator
SoftwareName	1891115-TOP-V002
SoftwareVersion	NA

--Step-Data-Start--
StepType	StepName	MeasureName	Value	LowLimit	HighLimit	CompOperator	Unit	StepStatus	StepExecutionTime	StepReportText	StepErrorCode	StepErrorMessage	CausedSequenceFailure
NumericLimitTest	ISH154	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH148	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH141	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH134	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH713	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH734	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH726	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH727	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH722	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH721	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH743	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH744	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH740	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH739	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH720	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH716	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH737	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH715	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH158	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH736	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH757	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH146	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH151	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH175	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH153	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH169	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH152	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH138	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH144	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH127	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH136	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH132	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH128	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH159	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH126	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH131	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
NumericLimitTest	ISH129	P-Auto	55859.380000	100.0	100.0	GT	O	Passed	1.000000		0		
